Samples	M0_epi_kmeans_3	M0_epi_kmeans_4	M0_epi_kmeans_5	M0_epi_kmeans_6	M0_epi_kmeans_7	M0_epi_kmeans_8	clr_M0_epi_kmeans_3	clr_M0_epi_kmeans_4	clr_M0_epi_kmeans_5	clr_M0_epi_kmeans_6	clr_M0_epi_kmeans_7	clr_M0_epi_kmeans_8	M1_epi_kmeans_3	M1_epi_kmeans_4	M1_epi_kmeans_5	M1_epi_kmeans_6	M1_epi_kmeans_7	M1_epi_kmeans_8	clr_M1_epi_kmeans_3	clr_M1_epi_kmeans_4	clr_M1_epi_kmeans_5	clr_M1_epi_kmeans_6	clr_M1_epi_kmeans_7	clr_M1_epi_kmeans_8	guidi_epi_kmeans_3	guidi_epi_kmeans_4	guidi_epi_kmeans_5	guidi_epi_kmeans_6	guidi_epi_kmeans_7	guidi_epi_kmeans_8	clr_guidi_epi_kmeans_3	clr_guidi_epi_kmeans_4	clr_guidi_epi_kmeans_5	clr_guidi_epi_kmeans_6	clr_guidi_epi_kmeans_7	clr_guidi_epi_kmeans_8	salazar_epi_kmeans_3	salazar_epi_kmeans_4	salazar_epi_kmeans_5	salazar_epi_kmeans_6	salazar_epi_kmeans_7	salazar_epi_kmeans_8	clr_salazar_epi_kmeans_3	clr_salazar_epi_kmeans_4	clr_salazar_epi_kmeans_5	clr_salazar_epi_kmeans_6	clr_salazar_epi_kmeans_7	clr_salazar_epi_kmeans_8	stress_epi_kmeans_3	stress_epi_kmeans_4	stress_epi_kmeans_5	stress_epi_kmeans_6	stress_epi_kmeans_7	stress_epi_kmeans_8	clr_stress_epi_kmeans_3	clr_stress_epi_kmeans_4	clr_stress_epi_kmeans_5	clr_stress_epi_kmeans_6	clr_stress_epi_kmeans_7	clr_stress_epi_kmeans_8
S19_Z01	0	1	1	1	0	0	1	1	2	1	4	3	0	2	1	3	4	7	1	1	2	3	5	3	2	0	2	2	0	1	1	1	4	3	1	6	1	0	0	0	6	2	0	2	4	2	6	1	0	2	0	1	2	1	1	0	0	0	0	1
S19_Z03	0	1	1	1	4	5	2	0	1	3	1	1	1	2	1	4	5	1	2	0	4	1	1	2	2	3	4	0	3	3	2	0	0	2	0	1	0	3	1	2	2	1	2	3	1	1	5	7	0	3	3	5	0	2	0	1	3	5	3	6
S19_Z05	0	2	3	1	4	5	2	0	1	3	1	4	0	0	0	4	5	1	2	0	4	1	1	2	2	0	1	5	3	3	2	0	0	5	0	1	0	3	1	2	2	1	2	3	1	1	5	7	0	2	0	5	0	1	0	1	4	5	3	2
S20_Z01	2	1	1	2	2	4	1	1	2	1	4	3	1	2	1	3	0	3	1	1	2	3	5	3	0	2	0	3	6	0	1	1	4	3	1	6	0	3	0	2	3	7	0	2	4	2	6	1	0	3	1	2	6	0	1	0	2	0	0	1
S20_Z03	0	2	3	1	4	0	2	0	2	1	4	0	0	0	0	4	5	1	1	2	3	3	4	2	2	0	2	2	0	1	2	0	0	2	2	6	0	3	1	2	2	1	2	2	1	5	6	1	0	2	0	5	0	1	0	2	4	3	4	2
S20_Z05	0	2	3	5	6	2	2	0	1	3	1	4	0	0	0	2	1	4	2	0	4	1	1	2	2	0	1	5	5	7	2	0	0	5	0	1	0	3	1	2	2	1	2	3	1	5	3	0	0	2	0	5	0	1	2	2	4	2	2	7
S21_Z01	2	1	1	2	2	4	1	1	2	1	4	3	1	2	1	3	0	3	1	1	2	3	5	3	0	2	0	3	6	0	1	1	4	3	1	6	1	0	0	0	3	7	0	2	4	2	6	1	0	3	1	2	6	0	2	3	1	2	2	7
S21_Z05	2	3	4	3	4	5	2	0	1	3	1	4	1	1	3	4	5	1	2	0	4	1	1	2	2	3	4	0	3	3	2	0	0	5	0	1	0	1	4	1	4	4	2	3	1	1	5	7	0	3	3	5	0	2	0	1	4	1	5	2
S24_Z01	0	2	3	1	4	2	2	0	1	3	1	1	0	0	0	4	5	4	2	0	3	4	1	1	2	0	1	5	5	7	2	0	0	2	2	4	0	3	1	2	2	1	0	2	2	4	4	6	0	2	0	5	0	1	0	1	3	2	6	5
S24_Z03	1	2	3	5	6	2	2	0	1	3	1	4	0	0	0	2	1	4	2	0	4	1	1	2	1	1	1	5	5	7	2	0	0	5	0	1	0	3	1	5	2	5	2	0	0	1	1	4	1	1	2	4	3	4	2	3	1	1	5	4
S24_Z05	0	2	3	5	4	2	2	0	1	3	1	4	0	0	0	4	1	4	2	0	4	1	1	2	2	0	1	5	5	7	2	0	0	5	0	1	0	3	1	2	2	1	2	0	0	5	1	3	1	2	0	5	0	1	0	1	3	5	6	5
S25_Z01	0	2	3	1	0	0	1	2	0	0	0	5	0	0	0	2	4	7	1	1	2	0	3	0	2	0	2	2	0	1	1	2	3	1	3	0	1	0	2	0	6	2	0	2	2	4	4	6	1	2	0	4	3	4	2	3	1	2	2	7
S25_Z03	0	2	3	1	4	2	2	0	1	3	1	4	0	0	0	4	1	4	2	0	4	1	1	6	2	0	1	5	5	7	2	0	0	2	2	4	0	3	1	5	2	5	2	0	0	1	1	4	0	2	0	5	0	1	0	1	3	2	6	5
S25_Z05	0	2	3	5	6	2	2	0	1	3	1	4	0	0	0	2	1	4	2	0	4	1	1	6	1	0	1	5	5	7	2	0	0	2	0	1	1	3	1	5	0	5	2	0	0	0	1	3	1	2	0	4	3	4	0	1	3	5	5	4
S26_Z01	0	2	3	1	0	0	1	2	0	0	0	5	0	0	0	2	4	7	1	1	2	0	3	0	2	0	2	2	0	1	1	2	3	1	3	0	1	0	2	0	6	2	0	2	2	4	4	6	0	2	0	1	2	1	2	3	1	1	5	4
S26_Z03	2	1	1	2	2	5	2	0	1	3	0	1	1	2	1	3	5	1	2	0	3	4	1	1	0	2	0	3	6	3	2	0	3	2	2	4	0	3	1	2	2	1	0	2	2	4	4	6	0	3	1	2	6	0	2	3	0	2	2	7
S26_Z05	0	2	3	5	4	2	2	0	1	3	1	1	0	0	0	4	1	4	2	0	4	1	1	2	2	0	1	5	5	7	2	0	0	5	0	1	0	3	1	2	2	1	2	0	0	0	1	3	0	2	0	5	0	1	0	1	3	2	6	5
S27_Z01	2	1	1	2	2	4	1	1	2	1	4	3	1	2	1	3	0	3	1	1	2	3	4	3	0	2	0	3	6	0	1	1	4	5	3	6	0	3	1	2	2	1	2	3	1	5	5	0	2	0	1	2	4	6	1	0	2	5	0	1
S27_Z03	2	1	4	3	4	5	2	0	1	3	1	4	1	2	3	4	5	1	2	0	4	1	1	2	2	3	4	0	3	3	2	0	0	5	0	1	0	3	1	2	2	1	2	3	1	5	3	0	0	3	3	2	6	2	0	1	4	5	3	2
S27_Z05	1	0	0	0	1	6	2	0	1	3	1	4	2	3	4	0	6	2	2	0	4	1	1	2	1	1	3	1	1	5	2	0	0	5	0	1	1	0	2	5	0	0	2	3	1	5	3	0	1	1	2	0	5	3	0	1	3	5	3	6
S28_Z01	1	2	3	5	6	1	1	2	0	0	0	5	0	0	0	2	4	0	1	1	2	0	3	0	1	0	2	2	5	2	1	2	3	1	3	0	1	0	2	0	6	2	0	2	4	4	6	1	1	1	2	4	3	4	2	3	1	1	5	4
S28_Z03	2	1	1	2	2	4	1	2	2	1	0	5	1	2	1	3	0	3	1	2	2	4	5	1	0	2	0	3	6	0	2	2	3	1	3	4	0	3	0	2	3	7	0	2	4	2	4	2	0	3	1	2	6	0	2	3	1	1	5	4
S28_Z05	0	1	3	1	4	0	2	0	2	3	0	5	0	2	0	4	5	1	1	2	2	4	1	1	2	0	2	2	0	1	2	0	0	2	3	4	0	3	1	2	2	5	0	2	4	2	6	1	0	2	0	5	2	1	2	3	1	2	2	7
S29_Z01	0	1	1	1	0	0	1	2	0	0	0	5	0	2	1	3	4	7	1	1	2	0	3	0	2	2	2	2	0	1	1	2	3	1	3	0	1	0	0	0	6	2	0	2	2	4	4	6	0	2	0	1	2	1	2	3	1	2	2	7
S29_Z03	0	2	3	5	6	2	2	0	1	3	0	5	0	0	0	2	1	4	2	0	3	4	1	1	2	0	1	5	5	7	2	2	0	1	3	4	1	0	1	5	0	5	0	2	2	4	4	6	1	2	0	4	3	4	2	3	1	2	2	7
S29_Z05	1	0	0	0	1	6	2	0	1	3	1	4	2	3	4	0	6	2	2	0	4	1	1	2	1	1	3	1	1	5	2	0	0	5	0	1	1	0	2	5	0	0	2	3	1	5	5	7	1	1	2	0	5	3	0	1	3	5	3	6
S30_Z01	0	2	3	1	0	0	1	2	0	0	0	5	0	0	0	2	4	7	1	1	2	0	5	0	2	0	2	2	0	1	1	2	3	1	3	0	1	0	2	0	6	2	0	2	2	4	4	6	0	2	0	1	2	1	2	3	1	1	5	4
S30_Z03	0	2	3	1	0	0	1	2	0	1	0	5	0	0	0	2	4	7	1	1	2	0	3	1	2	0	2	2	0	1	1	2	3	1	3	0	1	0	2	0	6	2	0	2	2	4	4	6	0	2	0	1	2	1	2	3	0	1	5	4
S30_Z05	1	0	0	0	1	6	2	0	1	3	1	4	2	3	4	0	6	2	2	0	4	1	1	2	1	1	3	1	1	5	2	0	0	5	0	1	1	0	2	5	0	5	2	3	0	5	3	3	1	1	2	0	5	3	2	3	1	1	5	4
S31_Z01	1	0	0	0	1	1	1	2	0	0	0	5	2	3	4	0	6	0	1	1	2	0	3	0	1	1	3	1	1	2	1	2	3	1	3	0	1	0	2	0	6	0	0	2	2	4	4	6	1	1	2	4	3	4	1	0	0	4	1	3
S31_Z03	0	2	3	5	6	2	2	0	1	3	1	1	0	0	0	2	1	4	2	0	3	4	1	2	2	0	1	5	5	7	2	0	0	2	3	4	0	3	1	2	2	5	0	2	2	4	4	6	1	2	0	4	3	1	2	3	1	1	5	4
S31_Z05	1	2	3	5	6	2	2	0	1	3	1	4	0	0	0	2	1	4	2	0	4	1	1	2	1	1	1	5	5	7	2	0	0	5	0	1	0	3	1	2	2	1	0	0	0	0	1	3	1	2	0	4	3	4	2	3	1	1	5	4
S32_Z01	0	2	3	1	0	0	1	2	0	0	0	5	0	0	0	2	4	7	1	1	2	0	3	0	2	0	2	2	0	1	1	2	3	1	3	0	1	0	0	0	6	2	0	2	2	4	4	6	1	2	0	4	3	4	2	2	1	1	4	4
S32_Z03	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	2	3	4	0	4	4	0	3	2	4	6	3	2	2	3	4	5	6	1	1	3	3	0	5	2	0	4	3	1	7	2	3	1	1	5	4
S32_Z05	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	0	3	4	0	4	4	0	3	2	4	6	3	2	2	3	3	1	3	1	1	3	1	0	5	2	0	4	3	1	7	2	3	1	1	5	4
S33_Z01	0	1	1	1	0	0	2	0	2	1	6	5	1	2	1	3	5	7	1	2	3	4	4	2	2	0	2	2	0	1	1	0	1	2	3	2	0	3	0	4	5	6	1	1	3	3	6	1	0	3	1	2	6	0	2	3	1	1	5	4
S33_Z03	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	0	3	4	0	4	4	0	3	2	4	6	3	2	2	3	3	1	3	1	1	3	3	0	5	2	0	4	3	1	7	2	2	1	2	2	7
S33_Z05	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	0	3	4	0	4	4	0	3	2	4	6	3	2	2	3	3	1	3	1	1	3	3	0	5	2	0	4	3	1	7	2	2	1	2	2	7
S34_Z01	2	1	1	2	2	5	2	0	3	2	5	4	1	1	1	1	5	1	2	0	3	1	1	5	0	3	4	0	4	3	2	0	1	2	4	3	0	3	0	4	5	6	1	1	3	3	0	5	2	0	4	3	1	7	2	3	1	1	5	4
S34_Z03	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	0	3	4	0	4	4	0	3	2	4	6	3	2	2	3	3	1	3	1	1	3	3	0	5	2	0	4	3	1	7	2	3	1	1	5	4
S34_Z05	2	3	2	4	3	3	0	3	3	2	5	6	1	1	2	1	3	6	0	3	0	2	2	5	0	3	4	0	4	4	0	3	2	4	6	3	2	2	3	3	1	3	1	1	3	3	0	5	2	0	4	3	1	7	2	3	0	1	5	4
