Unique_Dates_YYYYMMDD
20090901
20091101
20091201
20100101
20100301
20100401
20100501
20100601
20100701
20100901
20101001
20101101
20101201
20110101
20110301
20110401
20110501
20110601
20110701
20110801
20110901
20111001
20111201
20120101
20120201
20120301
20130501
20130701
20130801
20130901
20131001
20130601
